"alteNr","pmb"
"A001288",1085
"A001289",1086
"A001290",1087
"A001291",1088
"A001292",1089
"A001293",1090
"A001294",1091
"A001295",1092
"A001296",36456
"A001297",1094
"A001298",1095
"A001299",1096
"A001300",1097
"A001301",1098
"A001302",1099
"A001303",1100
"A001304",1101
"A001305",1102
"A001306",1103
"A001307",1104
"A001308",1105
"A001309",1106
"A001310",1107
"A001311",1108
"A001312",1109
"A001313",1110
"A001314",1111
"A001315",1112
"A001316",1113
"A001317",1114
"A001318",1115
"A001319",1116
"A001320",1117
"A001321",1118
"A001322",1119
"A001323",1120
"A001324",1121
"A001325",1122
"A001326",1123
"A001327",1124
"A001328",1125
"A001329",1126
"A001330",1127
"A001331",1128
"A001332",1129
"A001333",1130
"A001334",1131
"A001335",1132
"A001336",1133
"A001337",1134
"A001338",1135
"A001339",1136
"A001340",1137
"A001341",1138
"A001342",1139
"A001343",1140
"A001344",1141
"A001345",1142
"A001346",1143
"A001347",1144
"A001348",1145
"A001349",1146
"A001350",1147
"A001351",1148
"A001352",1149
"A001353",1150
"A001354",1151
"A001355",1152
"A001356",1153
"A001357",1154
"A001358",1155
"A001359",1156
"A001360",1157
"A001361",1158
"A001362",1159
"A001363",1160
"A001364",1161
"A001365",1162
"A001366",1163
"A001367",1164
"A001368",1165
"A001369",1166
"A001370",1167
"A001371",1168
"A001372",1169
"A001373",1170
"A001374",1171
"A001375",1172
"A001376",1173
"A001377",1174
"A001378",1175
"A001379",1176
"A001380",1177
"A001381",1178
"A001382",1179
"A001383",1180
"A001384",1181
"A001385",1182
"A001386",1183
"A001387",1184
"A001389",1185
"A001391",1187
"A001392",1188
"A001393",1189
"A001395",36749
"A001396",1192
"A001397",1193
"A001398",1194
"A001399",1195
"A001400",1196
"A001401",1197
"A001402",1198
"A001403",1199
"A001404",1200
"A001405",1201
"A001406",1202
"A001407",1203
"A001408",1204
"A001409",1205
"A001410",1206
"A001411",34498
"A001412",34478
"A001413",1209
"A001414",1210
"A001415",1211
"A001416",1212
"A001417",1213
"A001418",1214
"A001419",1215
"A001420",1216
"A001421",1217
"A001422",1218
"A001423",1219
"A001424",1220
"A001425",1221
"A001426",1222
"A001427",1223
"A001428",1224
"A001429",1225
"A001430",1226
"A001431",1227
"A001432",1228
"A001433",1229
"A001434",1230
"A001435",1231
"A001436",1232
"A001437",1233
"A001438",1234
"A001439",1235
"A001440",1236
"A001441",1237
"A001442",1238
"A001443",1239
"A001444",1240
"A001445",1241
"A001446",1242
"A001447",1243
"A001448",1244
"A001449",1245
"A001450",1246
"A001451",1247
"A001452",1248
"A001453",1249
"A001454",1250
"A001455",1251
"A001456",1252
"A001457",1253
"A001458",1254
"A001459",1255
"A001460",1256
